type,sec,sample
true,355.5078125,45505
true,356.5234375,45635
true,357.578125,45770
true,358.734375,45918
true,359.9921875,46079
true,361.234375,46238
true,362.4765625,46397
true,363.6640625,46549
true,364.8046875,46695
true,365.8984375,46835
true,366.9609375,46971
true,368.03125,47108
true,369.140625,47250
true,370.3046875,47399
true,371.4609375,47547
true,372.5546875,47687
true,373.6328125,47825
true,374.6953125,47961
true,375.765625,48098
true,376.8671875,48239
true,378.0234375,48387
true,379.2421875,48543
true,380.4921875,48703
true,381.6953125,48857
true,382.828125,49002
true,383.921875,49142
true,384.9921875,49279
true,386.09375,49420
true,387.15625,49556
true,388.1875,49688
true,389.2265625,49821
true,390.2734375,49955
true,391.328125,50090
true,392.5078125,50241
true,393.453125,50362
true,394.4296875,50487
true,395.7578125,50657
true,396.890625,50802
true,397.984375,50942
true,399.046875,51078
true,400.0703125,51209
true,401.1015625,51341
true,402.15625,51476
true,403.3125,51624
true,404.6171875,51791
true,405.9140625,51957
true,407.1328125,52113
true,408.2890625,52261
true,409.4609375,52411
true,410.6015625,52557
true,411.75,52704
true,412.890625,52850
true,414.0078125,52993
true,415.125,53136
true,416.21875,53276
true,417.3125,53416
true,418.5390625,53573
true,419.828125,53738
true,421.0625,53896
true,422.2890625,54053
true,423.4921875,54207
true,424.671875,54358
true,425.8515625,54509
true,427.0546875,54663
true,428.28125,54820
true,429.5,54976
true,430.65625,55124
true,431.8046875,55271
true,433.0390625,55429
true,434.34375,55596
true,435.6328125,55761
true,436.8984375,55923
true,438.125,56080
true,439.328125,56234
true,440.6328125,56401
true,441.9375,56568
true,443.1484375,56723
true,444.2734375,56867
true,445.3515625,57005
true,446.453125,57146
true,448.046875,57350
true,449.4921875,57535
true,450.8359375,57707
true,452.1640625,57877
true,453.3984375,58035
true,454.5703125,58185
true,455.6875,58328
true,456.7734375,58467
true,457.890625,58610
true,459.2109375,58779
true,460.5390625,58949
true,461.78125,59108
true,463.0,59264
true,464.21875,59420
true,465.4453125,59577
true,466.6875,59736
true,467.8828125,59889
true,469.0390625,60037
true,470.140625,60178
true,471.2734375,60323
true,472.578125,60490
true,473.96875,60668
true,475.3046875,60839
true,476.53125,60996
true,477.7421875,61151
true,478.9609375,61307
true,480.1875,61464
true,481.3671875,61615
true,482.5078125,61761
true,483.703125,61914
true,485.046875,62086
true,486.359375,62254
true,487.6171875,62415
true,488.8828125,62577
true,490.1484375,62739
true,491.421875,62902
true,492.6875,63064
true,493.953125,63226
true,495.25,63392
true,496.53125,63556
true,497.703125,63706
true,498.7734375,63843
true,499.8984375,63987
true,501.484375,64190
true,502.9453125,64377
true,504.2890625,64549
true,505.515625,64706
true,506.75,64864
true,508.0,65024
true,509.265625,65186
true,510.5390625,65349
true,511.8359375,65515
true,513.109375,65678
true,514.390625,65842
true,515.640625,66002
true,516.8671875,66159
true,518.078125,66314
true,519.328125,66474
true,520.59375,66636
true,521.875,66800
true,523.1015625,66957
true,524.2578125,67105
true,525.3046875,67239
true,526.2578125,67361
true,527.234375,67486
true,528.7734375,67683
true,530.0546875,67847
true,531.1015625,67981
true,532.09375,68108
true,533.1015625,68237
true,534.1953125,68377
true,535.1328125,68497
true,536.0546875,68615
true,537.34375,68780
true,538.3984375,68915
true,539.4375,69048
true,540.4765625,69181
true,541.625,69328
true,542.8515625,69485
true,543.9921875,69631
true,545.0703125,69769
true,546.125,69904
true,547.1171875,70031
true,548.109375,70158
true,549.1015625,70285
true,550.1484375,70419
true,551.3515625,70573
true,552.53125,70724
true,553.65625,70868
true,554.7109375,71003
true,555.703125,71130
true,556.671875,71254
true,557.7265625,71389
true,558.8984375,71539
true,560.046875,71686
true,561.1484375,71827
true,562.2421875,71967
true,563.296875,72102
true,564.3046875,72231
true,565.28125,72356
true,566.234375,72478
true,567.2421875,72607
true,568.2734375,72739
true,569.28125,72868
true,570.453125,73018
true,571.6171875,73167
true,572.7734375,73315
true,573.921875,73462
true,575.015625,73602
true,576.0546875,73735
true,577.09375,73868
true,578.1484375,74003
true,579.2421875,74143
true,580.3359375,74283
true,581.421875,74422
true,582.484375,74558
true,583.515625,74690
true,584.53125,74820
true,585.6171875,74959
true,586.8046875,75111
true,587.9921875,75263
true,589.1640625,75413
true,590.34375,75564
true,591.46875,75708
true,592.4921875,75839
true,593.4609375,75963
true,594.4375,76088
true,595.796875,76262
true,597.1171875,76431
true,598.2890625,76581
true,599.421875,76726
true,600.4375,76856
true,601.3984375,76979
true,602.40625,77108
true,603.65625,77268
true,605.03125,77444
true,606.2421875,77599
true,607.453125,77754
true,608.6015625,77901
true,609.7109375,78043
true,610.8125,78184
pred,0.1171875,15
pred,1.125,144
pred,2.0859375,267
pred,3.0,384
pred,3.28125,420
pred,4.0078125,513
pred,5.171875,662
pred,6.3828125,817
pred,7.5859375,971
pred,7.875,1008
pred,8.7421875,1119
pred,9.8359375,1259
pred,10.125,1296
pred,10.875,1392
pred,11.890625,1522
pred,12.9140625,1653
pred,13.9375,1784
pred,15.0,1920
pred,15.296875,1958
pred,16.1328125,2065
pred,17.3359375,2219
pred,17.6171875,2255
pred,18.28125,2340
pred,19.1484375,2451
pred,19.4296875,2487
pred,20.1875,2584
pred,20.46875,2620
pred,21.265625,2722
pred,22.2734375,2851
pred,23.28125,2980
pred,23.5703125,3017
pred,24.3359375,3115
pred,24.625,3152
pred,25.46875,3260
pred,25.75,3296
pred,26.6328125,3409
pred,27.7734375,3555
pred,28.890625,3698
pred,29.9765625,3837
pred,31.03125,3972
pred,31.3203125,4009
pred,32.1171875,4111
pred,33.2734375,4259
pred,33.5546875,4295
pred,34.4140625,4405
pred,35.546875,4550
pred,35.8359375,4587
pred,36.6953125,4697
pred,37.8125,4840
pred,38.9296875,4983
pred,40.09375,5132
pred,40.3828125,5169
pred,41.2890625,5285
pred,41.578125,5322
pred,42.4921875,5439
pred,43.65625,5588
pred,44.84375,5740
pred,46.0546875,5895
pred,47.28125,6052
pred,47.5703125,6089
pred,48.5,6208
pred,48.78125,6244
pred,49.6796875,6359
pred,49.9609375,6395
pred,50.8671875,6511
pred,52.0625,6664
pred,53.28125,6820
pred,54.5,6976
pred,54.78125,7012
pred,55.71875,7132
pred,56.921875,7286
pred,57.203125,7322
pred,58.109375,7438
pred,58.3984375,7475
pred,59.3359375,7595
pred,60.5703125,7753
pred,61.7265625,7901
pred,62.953125,8058
pred,64.140625,8210
pred,65.1953125,8345
pred,66.1640625,8469
pred,67.15625,8596
pred,68.625,8784
pred,69.921875,8950
pred,70.203125,8986
pred,71.2265625,9117
pred,71.5234375,9155
pred,72.375,9264
pred,73.421875,9398
pred,74.4453125,9529
pred,74.7421875,9567
pred,75.4609375,9659
pred,75.7578125,9697
pred,76.59375,9804
pred,76.8828125,9841
pred,77.9453125,9977
pred,78.234375,10014
pred,79.1953125,10137
pred,79.484375,10174
pred,80.359375,10286
pred,80.6484375,10323
pred,81.5234375,10435
pred,82.6640625,10581
pred,83.8828125,10737
pred,84.953125,10874
pred,86.0390625,11013
pred,87.09375,11148
pred,87.3828125,11185
pred,88.1796875,11287
pred,88.46875,11324
pred,89.4375,11448
pred,89.7265625,11485
pred,90.7578125,11617
pred,91.046875,11654
pred,91.96875,11772
pred,92.265625,11810
pred,93.1640625,11925
pred,94.328125,12074
pred,95.4765625,12221
pred,96.625,12368
pred,97.78125,12516
pred,98.0703125,12553
pred,98.9765625,12669
pred,99.265625,12706
pred,100.21875,12828
pred,100.5078125,12865
pred,101.421875,12982
pred,102.59375,13132
pred,103.765625,13282
pred,104.9453125,13433
pred,106.1015625,13581
pred,107.328125,13738
pred,108.546875,13894
pred,108.8359375,13931
pred,109.71875,14044
pred,110.0078125,14081
pred,110.8984375,14195
pred,112.0546875,14343
pred,113.21875,14492
pred,114.328125,14634
pred,115.3828125,14769
pred,116.5546875,14919
